Name,Radius,Mass,Distance
SDSS J111010.01+011613.1,88650351.684,1.7088079788e+28,63.0
2MASS J11145133âˆ’2618235,68632530.33599994,6.265629255599999e+28,18.2
TWA 26,157282882.01999998,5.696026596e+28,137.0
2MASS J11544223-3400390Â [de],107238328.64999999,7.0250994684e+28,129.0
2MASSW J1155395-372735Â [de],71492219.1,1.21515234048e+29,31.0
2MASS J12074836-3900043,122251694.661,3.2277484044000003e+28,217.0
2MASSI J1217110-031113Â [de],67202685.95399994,7.974437234399999e+28,36.0
2M 1237+6526,67202685.95399994,7.784569681199999e+28,45.6
TWA 29,142984438.2,4.7466888299999995e+28,262.0
SDSSp J125453.90-012247.4Â [de],70062374.71799994,8.9237750004e+28,38.0
Kelu-1A,70062374.71799994,1.19616558516e+29,61.0
Kelu-1B,70062374.71799994,1.1012318085599999e+29,61.0
2MASS J13204427+0409045,72207141.291,1.27211260644e+29,101.0
SDSSp J132629.82-003831.5Â [de],69347452.52699994,9.6832452132e+28,65.0
SDSSp J134646.45-003150.4Â [de],67202685.95399994,8.3541723408e+28,48.0
2MASS J13595510-4034582,71492219.1,1.19616558516e+29,51.0
ULAS J141623.94+134836.3,68632530.33599994,6.0757617024e+28,29.7
SDSS J141659.78+500626.4Â [de],70777296.90899992,1.12021856388e+29,149.0
DENIS-P J142527.97-365023.4Â [de],94369729.212,3.987218617199999e+28,38.0
LHS 2924,75781752.246,1.44299340432e+29,38.5
2MASS J14392837+1929150,73636985.673,1.36704638304e+29,47.0
LSPM J1440+1339,85075740.72899993,1.7467814894399998e+29,72.0
2MASS J14482563+1031590Â [de],70777296.90899992,1.12021856388e+29,47.0
CFBDSIR 1458+10A,107238328.64999999,2.10752984052e+28,104.0
CFBDSIR 1458+10B,92939884.82999994,1.7088079788e+28,104.0
TVLM 513-46546,75066830.055,1.4240066489999998e+29,35.1
2MASS 1503+2525,67202685.95399994,8.3541723408e+28,20.7
CFBDS J150411+102717,67202685.95399994,8.3541723408e+28,71.0
2MASSW J1506544+132106Â [de],72922063.482,1.3100861170799998e+29,46.0
2MASS 1507âˆ’1627,70777296.90899992,1.1392053192e+29,23.9
TVLM 868-110639,77211596.628,1.49995367028e+29,53.0
2MASSW J1515008+484742Â [de],70777296.90899992,1.08224505324e+29,34.0
2MASSI J1526140+204341Â [de],70062374.71799994,1.02528478728e+29,67.0
DENIS-P J153941.96-052042.4Â [de],71492219.1,1.19616558516e+29,51.0
2MASS J15462718-3325111Â [de],67202685.95399994,8.3541723408e+28,37.0
2MASSW J1552591+294849Â [de],102233873.31299993,5.696026596e+28,68.0
2MASSW J1555157-095605Â [de],73636985.673,1.3480596277199998e+29,44.0
2MASS J16150413+1340079Â [de],67202685.95399994,7.974437234399999e+28,48.0
SDSSp J162414.37+002915.6Â [de],67202685.95399994,8.1643047876e+28,36.0
2MASS J16262034+3925190Â [de],73636985.673,1.3480596277199998e+29,110.0
2MASSW J1632291+190441Â [de],69347452.52699994,9.3035101068e+28,50.0
WISEPA J164715.59+563208.2,67202685.95399994,7.784569681199999e+28,28.0
LSPM J1658+7027Â [de],74351907.864,1.3860331383599998e+29,60.0
2MASSI J1726000+153819,100089106.73999992,4.5568212767999995e+28,114.0
SDSSp J175032.96+175903.9,69347452.52699994,8.9237750004e+28,90.0
2MASS J18283572-4849046,67917608.14499994,8.544039894e+28,39.0
LSR J1835+3259,76496674.437,1.46198015964e+29,18.5
2MASSW J1841086+311727,72207141.291,1.27211260644e+29,138.0
2MASS J18432213+4040209,87220507.302,1.8227285107199998e+29,46.0
2MASS J20004841-7523070,134405371.90799993,4.7466888299999995e+28,105.0
SDSS J204749.61-071818.3,68632530.33599994,8.733907447199999e+28,65.0
2MASSI J2057540-025230,72922063.482,1.3290728724000001e+29,47.0
2MASSI J2104149-103736,72922063.482,1.3100861170799998e+29,62.0
PSO J318.5âˆ’22,109383095.22299999,1.2341390957999999e+28,80.0
HB 2124-4228,86505585.11099993,1.78475500008e+29,113.0
2MASS J21392676+0220226,68632530.33599994,8.733907447199999e+28,32.1
2MASS J21481628+4003593,70777296.90899992,1.0442715426e+29,26.3
2MASSW J2206450-421721,95084651.403,4.1770861704e+28,93.0
2MASSW J2208136+292121,100804028.93099992,5.1264239364e+28,154.0
2MASSW J2224438-015852,70777296.90899992,1.1581920745199998e+29,38.0
2MASS J22282889-4310262,67202685.95399994,7.974437234399999e+28,35.0
2MASS J22373255+3922398,74351907.864,1.3860331383599998e+29,64.0
2MASSW J2244316+204343,92224962.63899992,2.2784106383999997e+28,56.0
2MASS J23224684-3133231,99374184.54899992,4.5568212767999995e+28,56.0
2MASS J23225299-6151275,113672628.369,3.2277484044000003e+28,148.0
2MASS J23515044-2537367,82930974.15599993,1.67083446816e+29,67.0
2MASSI J2356547-155310,77926518.81899999,1.5189404256e+29,74.0
WISE 0410+1502,83645896.34699993,1.1392053191999999e+28,20.0
WISE 0458+6434A,300267320.22,2.848013298e+28,35.9
WISE 0458+6434B,271670432.5799999,1.898675532e+28,35.9
WISE 1405+5534,61483308.426,5.696026596e+28,25.3
Sun,695700000.0,1.989e+30,0.000015813
Sirius,1189647000.0,4.1769e+30,0008.6
Canopus,49394700000.0,2.9835e+31,0310
Alpha Centauri,834840000.0,2.1879e+30,0004.4
Arcturus,18088200000.0,2.1879e+30,0037
Vega,1878390000.0000002,4.3758e+30,0025
Capella,8348400000.0,5.1714e+30,0043
Rigel,54890730000.00001,4.574699999999999e+31,0860
Procyon,1321830000.0,2.9835e+30,0011.4
Betelgeuse,660915000000.0,3.978e+31,0640[1]
Achernar,6470010000.000001,1.33263e+31,0144
Hadar,5983020000.0,2.08845e+31,0390
Altair,1252260000.0,3.5802e+30,0017
Acrux,6191730000.0,3.5801999999999996e+31,0320
Aldebaran,30610800000.0,2.9835e+30,0065
Antares,473076000000.0,2.3868e+31,0600
Spica,5196879000.0,2.2734269999999998e+31,0260
Pollux,6122160000.000001,3.7790999999999997e+30,0034
Fomalhaut,1252260000.0,3.7790999999999997e+30,0025
Deneb,141227100000.0,3.7791e+31,"2,600"
Mimosa,5843880000.0,3.1824e+31,0350
Regulus,2156670000.0,7.558199999999999e+30,0077
Adhara,9739800000.0,2.48625e+31,0430
Shaula,6122160000.000001,2.88405e+31,0700
Castor,1669680000.0,5.5692e+30,0052
Gacrux,58438800000.0,2.9835e+30,0088
Bellatrix,4035060000.0,1.7105399999999998e+31,0240
Elnath,2921940000.0,9.945e+30,0130
Miaplacidus,4730760000.0,6.9615e+30,0110
Alnilam,29219400000.0,6.3648e+31,"2,000"
Gamma Velorum,4174200000.0,1.7900999999999998e+31,"01,100"
Alnair,2365380000.0,7.956e+30,0101
Alioth,2921940000.0,5.7681e+30,0081
Alnitak,13914000000.0,6.5637e+31,01050
Dubhe,20871000000.0,8.453249999999999e+30,0120
Mirfak,47307600000.0,1.6906499999999999e+31,0590
Wezen,139140000000.0,3.3812999999999997e+31,"1,600"
Sargas,18088200000.0,1.13373e+31,0270
Kaus Australis,4730760000.0,6.9615e+30,0140
Avior,90441000000.0,1.7900999999999998e+31,0630
Alkaid,2365380000.0,1.2132899999999998e+31,0104
Menkalinan,1927089000.0,4.75371e+30,081
Atria,64004400000.0,1.3923e+31,0390
Alhena,2295810000.0,5.5692e+30,0109
Peacock,3339360000.0,1.17351e+31,0180
Alsephina[2],2017530000.0,4.7735999999999997e+30,0080
Mirzam,6957000000.0,2.68515e+31,0500
Polaris,27132300000.0,1.07406e+31,0430
Alphard,34785000000.0,5.967e+30,0180
Mintaka,11479050000.0,4.7736e+31,01200
Scheat,66091500000.0,4.1769e+30,0196
Almaaz,97398000000.0,2.9835e+31,0653
